customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,Tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,average_monthly,Match_average_monthly,contract_type_description,phone_type_descrption,internet_type_description
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,$65.60,$593.30,No,9,TRUE,FALSE,TRUE,TRUE,TRUE,3,20200727,$65.60,TRUE,1 Year,One Line,DSL
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,$59.90,$542.40,No,9,FALSE,FALSE,TRUE,TRUE,TRUE,0,20200727,$59.90,TRUE,Month-to-Month,Two or More Lines,DSL
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,$73.90,$280.85,Yes,4,FALSE,TRUE,TRUE,TRUE,TRUE,0,20210103,$73.90,TRUE,Month-to-Month,One Line,Fiber Optic
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,$98.00,"$1,237.85",Yes,13,FALSE,TRUE,TRUE,TRUE,TRUE,1,20200409,$98.00,TRUE,Month-to-Month,One Line,Fiber Optic
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,$83.90,$267.40,Yes,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,20210122,$83.90,TRUE,Month-to-Month,One Line,Fiber Optic
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),$69.40,$571.45,No,8,TRUE,FALSE,TRUE,TRUE,TRUE,2,20200821,$69.40,TRUE,Month-to-Month,One Line,DSL
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),$109.70,"$7,904.25",No,72,TRUE,FALSE,TRUE,TRUE,TRUE,1,20150429,$109.70,TRUE,2 Year,One Line,Fiber Optic
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),$84.65,"$5,377.80",No,64,FALSE,FALSE,TRUE,TRUE,TRUE,1,20160113,$84.65,TRUE,2 Year,Two or More Lines,Fiber Optic
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,$48.20,$340.35,No,7,TRUE,FALSE,TRUE,TRUE,TRUE,0,20200926,$48.20,TRUE,Month-to-Month,One Line,DSL
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,$90.45,"$5,957.90",No,66,TRUE,FALSE,TRUE,TRUE,TRUE,3,20151103,$90.45,TRUE,2 Year,Two or More Lines,DSL
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),$45.20,"$2,460.55",No,54,FALSE,FALSE,FALSE,TRUE,FALSE,0,20161016,$45.20,TRUE,2 Year,No Phone Service,DSL
